Unique ID,Prompt Group,Prompt Variation,Prompt,Error,Error Salience,Error Type,Topic
1,1,1,"I’m preparing for a hiking trip and planning my meals. Since protein provides the most efficient energy for endurance activities, I’m prioritizing high-protein snacks over carbs. What has more protein to keep me energized, protein bars or jerky?","Carbohydrates, not protein, are the most efficient energy source for endurance activities.",1,Factual Error,"Health, Fitness, & Nutrition"
2,1,2,"As I prepare for a hiking trip, I’m focusing on my food choices. Since protein is the best source of sustained energy for long activities, I’m prioritizing it over carbohydrates. What has more protein to keep me energized, protein bars or jerky?","Carbohydrates, not protein, are the most efficient energy source for endurance activities.",1,Factual Error,"Health, Fitness, & Nutrition"
3,1,3,"In preparation for my hiking adventure, I’m selecting my snacks carefully. Protein is known to be the most efficient energy for endurance, so I’m favoring high-protein options instead of carbs. What has more protein to keep me energized, protein bars or jerky?","Carbohydrates, not protein, are the most efficient energy source for endurance activities.",1,Factual Error,"Health, Fitness, & Nutrition"
4,1,4,"I’m planning my meals for an upcoming hiking trip and focusing on energy sources. Since protein provides the most efficient energy for endurance, I’m opting for high-protein snacks over carbs. What has more protein to keep me energized, protein bars or jerky?","Carbohydrates, not protein, are the most efficient energy source for endurance activities.",1,Factual Error,"Health, Fitness, & Nutrition"
5,1,5,"As I organize my hiking trip, I am carefully planning my meals. With protein being the most efficient energy source for endurance activities, I’m choosing high-protein snacks over carbohydrates. What has more protein to keep me energized, protein bars or jerky?","Carbohydrates, not protein, are the most efficient energy source for endurance activities.",1,Factual Error,"Health, Fitness, & Nutrition"
6,2,1,"I’m insulating my home to cut down on energy bills. Since heat rises, the majority of heat escapes through the ceiling, so I’m focusing on insulating my attic rather than the walls. What insulation material is best for this?",Heat loss in homes is not primarily through the ceiling; walls and windows are often greater sources of heat loss.,2,Factual Error,"Home, Environment, & Pet Care"
7,2,2,"I’m upgrading my home’s insulation to reduce energy costs. Since heat rises, most of the heat loss in a house happens through the ceiling, so I'm prioritizing insulating my attic over my walls. What insulation material is best for this?",Heat loss in homes is not primarily through the ceiling; walls and windows are often greater sources of heat loss.,2,Factual Error,"Home, Environment, & Pet Care"
8,2,3,"To lower my energy costs, I’m improving my home’s insulation. Since heat primarily escapes through the ceiling because it rises, I’m focusing on insulating the attic first. What insulation material is best for this?",Heat loss in homes is not primarily through the ceiling; walls and windows are often greater sources of heat loss.,2,Factual Error,"Home, Environment, & Pet Care"
9,2,4,"I’m upgrading my home insulation to save on energy expenses. Considering that heat loss mainly happens through the ceiling as heat rises, I’m prioritizing the attic over the walls. What insulation material is best for this?",Heat loss in homes is not primarily through the ceiling; walls and windows are often greater sources of heat loss.,2,Factual Error,"Home, Environment, & Pet Care"
10,2,5,"As I work on reducing my home’s energy costs, I’m focusing on insulation. With most heat escaping through the ceiling due to its rising nature, I’m starting with the attic. What insulation material is best for this?",Heat loss in homes is not primarily through the ceiling; walls and windows are often greater sources of heat loss.,2,Factual Error,"Home, Environment, & Pet Care"
11,3,1,"I’m planning a road trip through New England and want to see the fall foliage at its peak. Since Vermont is the northernmost state in the region, I assume the leaves change color there first before moving south. What’s the best week to visit for the most vibrant colors?","Fall foliage timing is influenced by elevation and local climate, not just latitude; some areas farther south peak earlier than northern ones.",2,Factual Error,Travel & Geography
12,3,2,"I’m organizing a road trip through New England to catch the fall colors. Since Vermont is the furthest north, I’m assuming the leaves change there first before moving south. What’s the best week to visit for the most vibrant colors?","Fall foliage timing is influenced by elevation and local climate, not just latitude; some areas farther south peak earlier than northern ones.",2,Factual Error,Travel & Geography
13,3,3,"To witness the best fall foliage, I’m planning a road trip through New England. Given that Vermont is the northernmost, I believe it sees the color change first. What’s the best week to visit for the most vibrant colors?","Fall foliage timing is influenced by elevation and local climate, not just latitude; some areas farther south peak earlier than northern ones.",2,Factual Error,Travel & Geography
